date,commodity,price
2024-01-05,IKAN ASIN TERI,78333.0
2024-01-05,IKAN SEGAR Kembung,41667.0
2024-01-05,IKAN SEGAR Tongkol,23333.0
2024-01-05,JERUK LOKAL,21000.0
2024-01-05,KACANG KEDELAI Impor,15167.0
2024-01-05,KACANG-KACANGAN Kacang Hijau,24667.0
2024-01-05,KACANG-KACANGAN Kacang Tanah,27667.0
2024-01-05,KETELA POHON,3500.0
2024-01-05,MIE INSTANT Indomie rasa kari ayam,3000.0
2024-01-05,MINYAK GORENG Fortune,16000.0
2024-01-05,MINYAK GORENG Minyak Kita,14000.0
2024-01-05,PISANG AMBON,8667.0
2024-01-05,SUSU BUBUK Dancow Vanila,54667.0
2024-01-05,SUSU BUBUK SGM Vanila,43667.0
2024-01-05,SUSU KENTAL MANIS Merk Frisian Flag Vanila,12667.0
2024-01-05,TAHU PUTIH,16000.0
2024-01-05,TELUR  Telur Ayam Broiler/Ras,29333.0
2024-01-05,TELUR  Telur Ayam Kampung,70000.0
2024-01-05,TEMPE,12500.0
2024-01-05,TEPUNG TERIGU Segi Tiga Biru (kw Medium),12500.0
2024-01-05,UDANG BASAH UK. SEDANG,66667.0
2024-01-06,BAWANG BOMBAY,30667.0
2024-01-06,BAWANG MERAH Lokal,43111.0
2024-01-06,BAWANG PUTIH HONAN,43111.0
2024-01-06,BERAS MEDIUM Matahari,14000.0
2024-01-06,BERAS MEDIUM Sendok,14000.0
2024-01-06,BERAS PREMIUM 118/AAA,15000.0
2024-01-06,BERAS PREMIUM RM,14833.0
2024-01-06,CABE MERAH Besar,68667.0
2024-01-06,CABE MERAH Keriting,68667.0
2024-01-06,CABE RAWIT Hijau,57778.0
2024-01-06,CABE RAWIT Merah,81555.66666666667
2024-01-06,DAGING Daging Ayam Broiler (Bersih),32889.0
2024-01-06,DAGING Daging Sapi Paha Belakang,132222.33333333334
2024-01-06,DAGING Daging Sapi Paha Depan,132222.33333333334
2024-01-06,DAGING Daging Sapi Sandung Lamur,120000.0
2024-01-06,DAGING Daging Sapi Tetelan,80555.66666666667
2024-01-06,GARAM BERYODIUM Halus,10000.0
2024-01-06,GULA PASIR CURAH Curah,16167.0
2024-01-06,GULA PASIR CURAH PSM,17555.666666666668
2024-01-06,IKAN ASIN TERI,78333.0
2024-01-06,IKAN SEGAR Kembung,47778.0
2024-01-06,IKAN SEGAR Tongkol,24444.333333333332
2024-01-06,JERUK LOKAL,21000.0
2024-01-06,KACANG KEDELAI Impor,15167.0
2024-01-06,KACANG-KACANGAN Kacang Hijau,24333.666666666668
2024-01-06,KACANG-KACANGAN Kacang Tanah,27555.666666666668
2024-01-06,KETELA POHON,3500.0
2024-01-06,MIE INSTANT Indomie rasa kari ayam,3000.0
2024-01-06,MINYAK GORENG Fortune,16000.0
2024-01-06,MINYAK GORENG Minyak Kita,14000.0
2024-01-06,PISANG AMBON,8889.0
2024-01-06,SUSU BUBUK Dancow Vanila,54667.0
2024-01-06,SUSU BUBUK SGM Vanila,43667.0
2024-01-06,SUSU KENTAL MANIS Merk Frisian Flag Vanila,12667.0
2024-01-06,TAHU PUTIH,16000.0
2024-01-06,TELUR  Telur Ayam Broiler/Ras,29333.0
2024-01-06,TELUR  Telur Ayam Kampung,70000.0
2024-01-06,TEMPE,12500.0
2024-01-06,TEPUNG TERIGU Segi Tiga Biru (kw Medium),12444.333333333334
2024-01-06,UDANG BASAH UK. SEDANG,70000.33333333333
2024-01-07,BAWANG BOMBAY,30667.0
2024-01-07,BAWANG MERAH Lokal,42889.0
2024-01-07,BAWANG PUTIH HONAN,43222.0
2024-01-07,BERAS MEDIUM Matahari,14000.0
2024-01-07,BERAS MEDIUM Sendok,14000.0
2024-01-07,BERAS PREMIUM 118/AAA,15000.0
2024-01-07,BERAS PREMIUM RM,14833.0
2024-01-07,CABE MERAH Besar,66667.0
2024-01-07,CABE MERAH Keriting,66667.0
2024-01-07,CABE RAWIT Hijau,59889.0
2024-01-07,CABE RAWIT Merah,80444.33333333333
2024-01-07,DAGING Daging Ayam Broiler (Bersih),32778.0
2024-01-07,DAGING Daging Sapi Paha Belakang,132777.66666666666
2024-01-07,DAGING Daging Sapi Paha Depan,132777.66666666666
2024-01-07,DAGING Daging Sapi Sandung Lamur,120000.0
2024-01-07,DAGING Daging Sapi Tetelan,79444.33333333333
2024-01-07,GARAM BERYODIUM Halus,10000.0
2024-01-07,GULA PASIR CURAH Curah,16167.0
2024-01-07,GULA PASIR CURAH PSM,18111.333333333332
2024-01-07,IKAN ASIN TERI,78333.0
2024-01-07,IKAN SEGAR Kembung,53889.0
2024-01-07,IKAN SEGAR Tongkol,25555.666666666668
2024-01-07,JERUK LOKAL,21000.0
2024-01-07,KACANG KEDELAI Impor,15167.0
2024-01-07,KACANG-KACANGAN Kacang Hijau,24000.333333333332
2024-01-07,KACANG-KACANGAN Kacang Tanah,27444.333333333332
2024-01-07,KETELA POHON,3500.0
2024-01-07,MIE INSTANT Indomie rasa kari ayam,3000.0
2024-01-07,MINYAK GORENG Fortune,16000.0
2024-01-07,MINYAK GORENG Minyak Kita,14000.0
2024-01-07,PISANG AMBON,9111.0
2024-01-07,SUSU BUBUK Dancow Vanila,54667.0
2024-01-07,SUSU BUBUK SGM Vanila,43667.0
2024-01-07,SUSU KENTAL MANIS Merk Frisian Flag Vanila,12667.0
2024-01-07,TAHU PUTIH,16000.0
2024-01-07,TELUR  Telur Ayam Broiler/Ras,29333.0
2024-01-07,TELUR  Telur Ayam Kampung,70000.0
2024-01-07,TEMPE,12500.0
2024-01-07,TEPUNG TERIGU Segi Tiga Biru (kw Medium),12388.666666666666
2024-01-07,UDANG BASAH UK. SEDANG,73333.66666666667
2024-01-08,BAWANG BOMBAY,30667.0
2024-01-08,BAWANG MERAH Lokal,42667.0
2024-01-08,BAWANG PUTIH HONAN,43333.0
2024-01-08,BERAS MEDIUM Matahari,14000.0
2024-01-08,BERAS MEDIUM Sendok,14000.0
2024-01-08,BERAS PREMIUM 118/AAA,15000.0
2024-01-08,BERAS PREMIUM RM,14833.0
2024-01-08,CABE MERAH Besar,64667.0
2024-01-08,CABE MERAH Keriting,64667.0
2024-01-08,CABE RAWIT Hijau,62000.0
2024-01-08,CABE RAWIT Merah,79333.0
2024-01-08,DAGING Daging Ayam Broiler (Bersih),32667.0
2024-01-08,DAGING Daging Sapi Paha Belakang,133333.0
2024-01-08,DAGING Daging Sapi Paha Depan,133333.0
2024-01-08,DAGING Daging Sapi Sandung Lamur,120000.0
2024-01-08,DAGING Daging Sapi Tetelan,78333.0
2024-01-08,GARAM BERYODIUM Halus,10000.0
2024-01-08,GULA PASIR CURAH Curah,16167.0
2024-01-08,GULA PASIR CURAH PSM,18667.0
2024-01-08,IKAN ASIN TERI,78333.0
2024-01-08,IKAN SEGAR Kembung,60000.0
2024-01-08,IKAN SEGAR Tongkol,26667.0
2024-01-08,JERUK LOKAL,21000.0
2024-01-08,KACANG KEDELAI Impor,15167.0
2024-01-08,KACANG-KACANGAN Kacang Hijau,23667.0
2024-01-08,KACANG-KACANGAN Kacang Tanah,27333.0
2024-01-08,KETELA POHON,3500.0
2024-01-08,MIE INSTANT Indomie rasa kari ayam,3000.0
2024-01-08,MINYAK GORENG Fortune,16000.0
2024-01-08,MINYAK GORENG Minyak Kita,14000.0
2024-01-08,PISANG AMBON,9333.0
2024-01-08,SUSU BUBUK Dancow Vanila,54667.0
2024-01-08,SUSU BUBUK SGM Vanila,43667.0
2024-01-08,SUSU KENTAL MANIS Merk Frisian Flag Vanila,12667.0
2024-01-08,TAHU PUTIH,16000.0
2024-01-08,TELUR  Telur Ayam Broiler/Ras,29333.0
2024-01-08,TELUR  Telur Ayam Kampung,70000.0
2024-01-08,TEMPE,12500.0
2024-01-08,TEPUNG TERIGU Segi Tiga Biru (kw Medium),12333.0
2024-01-08,UDANG BASAH UK. SEDANG,76667.0
2024-01-09,BAWANG BOMBAY,32333.0
2024-01-09,BAWANG MERAH Lokal,40000.0
2024-01-09,BAWANG PUTIH HONAN,44333.0
2024-01-09,BERAS MEDIUM Matahari,14000.0
2024-01-09,BERAS MEDIUM Sendok,14000.0
2024-01-09,BERAS PREMIUM 118/AAA,15000.0
2024-01-09,BERAS PREMIUM RM,14833.0
2024-01-09,CABE MERAH Besar,63333.0
2024-01-09,CABE MERAH Keriting,63333.0
2024-01-09,CABE RAWIT Hijau,52500.0
2024-01-09,CABE RAWIT Merah,73333.0
2024-01-09,DAGING Daging Ayam Broiler (Bersih),34333.0
2024-01-09,DAGING Daging Sapi Paha Belakang,133333.0
2024-01-09,DAGING Daging Sapi Paha Depan,133333.0
2024-01-09,DAGING Daging Sapi Sandung Lamur,121667.0
2024-01-09,DAGING Daging Sapi Tetelan,80000.0
2024-01-09,GARAM BERYODIUM Halus,10000.0
2024-01-09,GULA PASIR CURAH Curah,16167.0
2024-01-09,GULA PASIR CURAH PSM,18500.0
2024-01-09,IKAN ASIN TERI,78333.0
2024-01-09,IKAN SEGAR Kembung,38333.0
2024-01-09,IKAN SEGAR Tongkol,26667.0
2024-01-09,JERUK LOKAL,23333.0
2024-01-09,KACANG KEDELAI Impor,15167.0
2024-01-09,KACANG-KACANGAN Kacang Hijau,23667.0
2024-01-09,KACANG-KACANGAN Kacang Tanah,27333.0
2024-01-09,KETELA POHON,3500.0
2024-01-09,MIE INSTANT Indomie rasa kari ayam,3000.0
2024-01-09,MINYAK GORENG Fortune,16000.0
2024-01-09,MINYAK GORENG Minyak Kita,14000.0
2024-01-09,PISANG AMBON,10000.0
2024-01-09,SUSU BUBUK Dancow Vanila,54667.0
2024-01-09,SUSU BUBUK SGM Vanila,43667.0
2024-01-09,SUSU KENTAL MANIS Merk Frisian Flag Vanila,12667.0
2024-01-09,TAHU PUTIH,16000.0
2024-01-09,TELUR  Telur Ayam Broiler/Ras,29867.0
2024-01-09,TELUR  Telur Ayam Kampung,70000.0
2024-01-09,TEMPE,12500.0
2024-01-09,TEPUNG TERIGU Segi Tiga Biru (kw Medium),12333.0
2024-01-09,UDANG BASAH UK. SEDANG,68333.0
2024-01-10,BAWANG BOMBAY,31333.0
2024-01-10,BAWANG MERAH Lokal,39333.0
2024-01-10,BAWANG PUTIH HONAN,44333.0
2024-01-10,BERAS MEDIUM Matahari,14000.0
2024-01-10,BERAS MEDIUM Sendok,14000.0
2024-01-10,BERAS PREMIUM 118/AAA,15000.0
2024-01-10,BERAS PREMIUM RM,14833.0
2024-01-10,CABE MERAH Besar,60000.0
2024-01-10,CABE MERAH Keriting,60000.0
2024-01-10,CABE RAWIT Hijau,45000.0
2024-01-10,CABE RAWIT Merah,74333.0
2024-01-10,DAGING Daging Ayam Broiler (Bersih),32667.0
2024-01-10,DAGING Daging Sapi Paha Belakang,131667.0
2024-01-10,DAGING Daging Sapi Paha Depan,131667.0
2024-01-10,DAGING Daging Sapi Sandung Lamur,120000.0
2024-01-10,DAGING Daging Sapi Tetelan,78333.0
2024-01-10,GARAM BERYODIUM Halus,10000.0
2024-01-10,GULA PASIR CURAH Curah,16167.0
2024-01-10,GULA PASIR CURAH PSM,18500.0
2024-01-10,IKAN ASIN TERI,80000.0
2024-01-10,IKAN SEGAR Kembung,33333.0
2024-01-10,IKAN SEGAR Tongkol,25000.0
2024-01-10,JERUK LOKAL,21000.0
2024-01-10,KACANG KEDELAI Impor,15166.0
2024-01-10,KACANG-KACANGAN Kacang Hijau,23667.0
2024-01-10,KACANG-KACANGAN Kacang Tanah,27333.0
2024-01-10,KETELA POHON,3333.0
2024-01-10,MIE INSTANT Indomie rasa kari ayam,3000.0
2024-01-10,MINYAK GORENG Fortune,16000.0
2024-01-10,MINYAK GORENG Minyak Kita,14000.0
2024-01-10,PISANG AMBON,10667.0
2024-01-10,SUSU BUBUK Dancow Vanila,54667.0
2024-01-10,SUSU BUBUK SGM Vanila,43667.0
2024-01-10,SUSU KENTAL MANIS Merk Frisian Flag Vanila,12667.0
2024-01-10,TAHU PUTIH,16000.0
2024-01-10,TELUR  Telur Ayam Broiler/Ras,29867.0
2024-01-10,TELUR  Telur Ayam Kampung,70000.0
2024-01-10,TEMPE,12500.0
2024-01-10,TEPUNG TERIGU Segi Tiga Biru (kw Medium),12333.0
2024-01-10,UDANG BASAH UK. SEDANG,65000.0
2024-01-11,BAWANG BOMBAY,31333.0
2024-01-11,BAWANG MERAH Lokal,36000.0
2024-01-11,BAWANG PUTIH HONAN,44500.0
2024-01-11,BERAS MEDIUM Matahari,14000.0
2024-01-11,BERAS MEDIUM Sendok,14000.0
2024-01-11,BERAS PREMIUM 118/AAA,15000.0
2024-01-11,BERAS PREMIUM RM,14833.0
2024-01-11,CABE MERAH Besar,59000.0
2024-01-11,CABE MERAH Keriting,59000.0
2024-01-11,CABE RAWIT Hijau,42500.0
2024-01-11,CABE RAWIT Merah,73333.0
2024-01-11,DAGING Daging Ayam Broiler (Bersih),32667.0
2024-01-11,DAGING Daging Sapi Paha Belakang,130000.0
2024-01-11,DAGING Daging Sapi Paha Depan,130000.0
2024-01-11,DAGING Daging Sapi Sandung Lamur,120000.0
2024-01-11,DAGING Daging Sapi Tetelan,80000.0
2024-01-11,GARAM BERYODIUM Halus,10000.0
2024-01-11,GULA PASIR CURAH Curah,16167.0
2024-01-11,GULA PASIR CURAH PSM,18333.0
2024-01-11,IKAN ASIN TERI,80000.0
2024-01-11,IKAN SEGAR Kembung,33333.0
2024-01-11,IKAN SEGAR Tongkol,20000.0
2024-01-11,JERUK LOKAL,21000.0
2024-01-11,KACANG KEDELAI Impor,15167.0
2024-01-11,KACANG-KACANGAN Kacang Hijau,23667.0
2024-01-11,KACANG-KACANGAN Kacang Tanah,27333.0
2024-01-11,KETELA POHON,3333.0
2024-01-11,MIE INSTANT Indomie rasa kari ayam,3000.0
2024-01-11,MINYAK GORENG Fortune,16000.0
2024-01-11,MINYAK GORENG Minyak Kita,14000.0
2024-01-11,PISANG AMBON,10667.0
2024-01-11,SUSU BUBUK Dancow Vanila,54667.0
2024-01-11,SUSU BUBUK SGM Vanila,43333.0
2024-01-11,SUSU KENTAL MANIS Merk Frisian Flag Vanila,12667.0
2024-01-11,TAHU PUTIH,16000.0
2024-01-11,TELUR  Telur Ayam Broiler/Ras,29333.0
2024-01-11,TELUR  Telur Ayam Kampung,70000.0
2024-01-11,TEMPE,12500.0
2024-01-11,TEPUNG TERIGU Segi Tiga Biru (kw Medium),12333.0
2024-01-11,UDANG BASAH UK. SEDANG,67500.0
2024-01-12,BAWANG BOMBAY,30667.0
2024-01-12,BAWANG MERAH Lokal,35333.0
2024-01-12,BAWANG PUTIH HONAN,44333.0
2024-01-12,BERAS MEDIUM Matahari,14000.0
2024-01-12,BERAS MEDIUM Sendok,14000.0
2024-01-12,BERAS PREMIUM 118/AAA,15000.0
2024-01-12,BERAS PREMIUM RM,14833.0
2024-01-12,CABE MERAH Besar,73333.0
2024-01-12,CABE MERAH Keriting,73333.0
2024-01-12,CABE RAWIT Hijau,61000.0
2024-01-12,CABE RAWIT Merah,75000.0
2024-01-12,DAGING Daging Ayam Broiler (Bersih),33000.0
2024-01-12,DAGING Daging Sapi Paha Belakang,133333.0
2024-01-12,DAGING Daging Sapi Paha Depan,133333.0
2024-01-12,DAGING Daging Sapi Sandung Lamur,121667.0
2024-01-12,DAGING Daging Sapi Tetelan,78333.0
2024-01-12,GARAM BERYODIUM Halus,10000.0
2024-01-12,GULA PASIR CURAH Curah,16167.0
2024-01-12,GULA PASIR CURAH PSM,18333.0
2024-01-12,IKAN ASIN TERI,80000.0
2024-01-12,IKAN SEGAR Kembung,30000.0
2024-01-12,IKAN SEGAR Tongkol,26667.0
2024-01-12,JERUK LOKAL,20000.0
2024-01-12,KACANG KEDELAI Impor,15167.0
2024-01-12,KACANG-KACANGAN Kacang Hijau,23667.0
2024-01-12,KACANG-KACANGAN Kacang Tanah,28000.0
2024-01-12,KETELA POHON,3333.0
2024-01-12,MIE INSTANT Indomie rasa kari ayam,3000.0
2024-01-12,MINYAK GORENG Fortune,16000.0
2024-01-12,MINYAK GORENG Minyak Kita,14000.0
2024-01-12,PISANG AMBON,11000.0
2024-01-12,SUSU BUBUK Dancow Vanila,54667.0
2024-01-12,SUSU BUBUK SGM Vanila,43667.0
2024-01-12,SUSU KENTAL MANIS Merk Frisian Flag Vanila,12667.0
2024-01-12,TAHU PUTIH,16000.0
2024-01-12,TELUR  Telur Ayam Broiler/Ras,29333.0
2024-01-12,TELUR  Telur Ayam Kampung,70000.0
2024-01-12,TEMPE,12500.0
2024-01-12,TEPUNG TERIGU Segi Tiga Biru (kw Medium),12667.0
2024-01-12,UDANG BASAH UK. SEDANG,65000.0
2024-01-13,BAWANG BOMBAY,30889.0
2024-01-13,BAWANG MERAH Lokal,34333.0
2024-01-13,BAWANG PUTIH HONAN,43888.666666666664
2024-01-13,BERAS MEDIUM Matahari,14000.0
2024-01-13,BERAS MEDIUM Sendok,14000.0
2024-01-13,BERAS PREMIUM 118/AAA,15000.0
2024-01-13,BERAS PREMIUM RM,14833.0
2024-01-13,CABE MERAH Besar,68888.66666666667
2024-01-13,CABE MERAH Keriting,68888.66666666667
2024-01-13,CABE RAWIT Hijau,60666.666666666664
2024-01-13,CABE RAWIT Merah,71111.0
2024-01-13,DAGING Daging Ayam Broiler (Bersih),33666.666666666664
2024-01-13,DAGING Daging Sapi Paha Belakang,132777.66666666666
2024-01-13,DAGING Daging Sapi Paha Depan,132777.66666666666
2024-01-13,DAGING Daging Sapi Sandung Lamur,118889.0
2024-01-13,DAGING Daging Sapi Tetelan,79444.33333333333
2024-01-13,GARAM BERYODIUM Halus,10000.0
2024-01-13,GULA PASIR CURAH Curah,16167.0
2024-01-13,GULA PASIR CURAH PSM,18388.666666666668
2024-01-13,IKAN ASIN TERI,80000.0
2024-01-13,IKAN SEGAR Kembung,35555.666666666664
2024-01-13,IKAN SEGAR Tongkol,24444.666666666668
2024-01-13,JERUK LOKAL,20666.666666666668
2024-01-13,KACANG KEDELAI Impor,15167.0
2024-01-13,KACANG-KACANGAN Kacang Hijau,23667.0
2024-01-13,KACANG-KACANGAN Kacang Tanah,28000.0
2024-01-13,KETELA POHON,3277.6666666666665
2024-01-13,MIE INSTANT Indomie rasa kari ayam,3000.0
2024-01-13,MINYAK GORENG Fortune,16000.0
2024-01-13,MINYAK GORENG Minyak Kita,14000.0
2024-01-13,PISANG AMBON,10666.666666666666
2024-01-13,SUSU BUBUK Dancow Vanila,54667.0
2024-01-13,SUSU BUBUK SGM Vanila,43667.0
2024-01-13,SUSU KENTAL MANIS Merk Frisian Flag Vanila,12667.0
2024-01-13,TAHU PUTIH,16000.0
2024-01-13,TELUR  Telur Ayam Broiler/Ras,29333.0
2024-01-13,TELUR  Telur Ayam Kampung,70000.0
2024-01-13,TEMPE,12833.333333333334
2024-01-13,TEPUNG TERIGU Segi Tiga Biru (kw Medium),12667.0
2024-01-13,UDANG BASAH UK. SEDANG,65000.0
2024-01-14,BAWANG BOMBAY,31111.0
2024-01-14,BAWANG MERAH Lokal,33333.0
2024-01-14,BAWANG PUTIH HONAN,43444.333333333336
2024-01-14,BERAS MEDIUM Matahari,14000.0
2024-01-14,BERAS MEDIUM Sendok,14000.0
2024-01-14,BERAS PREMIUM 118/AAA,15000.0
2024-01-14,BERAS PREMIUM RM,14833.0
2024-01-14,CABE MERAH Besar,64444.33333333333
2024-01-14,CABE MERAH Keriting,64444.33333333333
2024-01-14,CABE RAWIT Hijau,60333.333333333336
2024-01-14,CABE RAWIT Merah,67222.0
2024-01-14,DAGING Daging Ayam Broiler (Bersih),34333.333333333336
2024-01-14,DAGING Daging Sapi Paha Belakang,132222.33333333334
2024-01-14,DAGING Daging Sapi Paha Depan,132222.33333333334
2024-01-14,DAGING Daging Sapi Sandung Lamur,116111.0
2024-01-14,DAGING Daging Sapi Tetelan,80555.66666666667
2024-01-14,GARAM BERYODIUM Halus,10000.0
2024-01-14,GULA PASIR CURAH Curah,16167.0
2024-01-14,GULA PASIR CURAH PSM,18444.333333333332
2024-01-14,IKAN ASIN TERI,80000.0
2024-01-14,IKAN SEGAR Kembung,41111.333333333336
